Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-3805.238	-3950.735	145.4974	0.8957874	0.8968318	0.254507	0.745493	5.504906
6	-3808.155	-3951.98	143.8244	0.7970304	0.8366448	0.360824	0.639176	6.507954
12	-3802.112	-3945.963	143.8513	0.7970304	0.7108305	0.324683	0.675317	6.575922
18	-3804.638	-3949.288	144.6499	0.7479359	0.9737836	0.428471	0.571529	6.005655
24	-3816.981	-3959.414	142.4329	0.7515236	1.07676	0.448457	0.551543	7.148915
30	-3807.18	-3952.279	145.0992	0.842607	1.042543	0.395582	0.604418	5.670821
36	-3808.021	-3954.045	146.0241	0.9664767	0.6468418	0.280654	0.719346	5.343613
42	-3791.136	-3936.024	144.8873	0.8128218	1.019891	0.382769	0.617231	5.81527
48	-3795.111	-3940.146	145.0348	0.8786253	0.8709454	0.423379	0.576621	5.783677
54	-3816.882	-3963.663	146.7816	1.044766	0.8806696	0.459665	0.540335	4.720272
60	-3811.75	-3958.808	147.0586	1.025467	0.6445905	0.450053	0.549947	4.738301
66	-3810.031	-3957.255	147.2246	0.8720825	0.7595611	0.450053	0.549947	4.647593
72	-3803.918	-3949.171	145.2524	0.7771846	0.7816999	0.34104	0.65896	5.776454
78	-3797.889	-3943.129	145.2402	0.8189869	0.8188314	0.441343	0.558657	5.736206
84	-3816.777	-3963.475	146.6986	0.9562009	0.8020446	0.389827	0.610173	4.865951
90	-3803.669	-3949.745	146.076	0.9375691	0.6867076	0.389827	0.610173	5.301247
96	-3809.896	-3955.368	145.4721	0.7995684	0.721006	0.339414	0.660586	5.684904
102	-3797.251	-3942.732	145.4809	0.9011691	0.7486613	0.383795	0.616205	5.605289
108	-3812.505	-3958.578	146.0729	0.8634191	0.6960989	0.415192	0.584808	5.337073
114	-3797.229	-3942.282	145.0537	0.8736215	0.7566521	0.364957	0.635043	5.849037
120	-3802.435	-3948.445	146.0101	0.8617364	0.7495888	0.396938	0.603062	5.335148
126	-3800.037	-3944.327	144.2895	0.8577947	0.9110471	0.30217	0.69783	6.177836
132	-3802.648	-3948.12	145.4715	0.8263948	0.9110471	0.492785	0.507215	5.548848
138	-3819.126	-3963.877	144.7504	0.9418419	0.7651008	0.538842	0.461158	5.971763
