Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-3805.238	-3950.735	145.4974	0.309615	0.102012	0.0615631	0.0348691	0.0620993	0.029896	0.0223036	0.0235564	0.0394345	0.0629743	0.0304145	0.147686	0.0653424	0.10781	0.131535	0.11352	0.0956392	0.0739053	0.149378	0.0022715	0.135721	0.127204	0.0667307	0.0114265	0.000377702	0.0412828	0.0626336	0.0391228	0.0227891	0.0410877	0.064141	0.0348338	0.0609701	0.0302593	0.0368924	0.0413613	0.0432358	0.163418	0.0390363	0.0176817	0.0180689	0.0230616	0.0233645	0.0151545	0.00404218	0.0144006	0.040951	0.0737768	0.0294978	0.00878958	0.0277479	0.035842	0.0336612	0.30675	0.0311212	0.00997856	0.324288	0.102456	0.000124622	0.111648	0.00811596	0.0449262	0.1268	0.0691149	0.0582306	0.0228214	0.0853951	0.00540608	0.14344	0.0366323	0.0129052	0.0452706	0.00970288	0.180934	0.0888062	0.00147581	0.0326519	0.0355886	0.00696532	0.0221174	0.0496326	0.0521973	0.00398525	0.0319063	0.109225	0.0393802	0.150527	0.0498869	0.000112696	1.05439	0.9456102	0.289712	0.546512	0.828201	1.20744	1.82979	3.45171	0.8957874	0.8968318	0.0562435	0.0185311	0.0111833	0.00633419	0.0112807	0.0054308	0.00405158	0.00427916	0.00716351	0.0114397	0.00552498	0.026828	0.0118699	0.0195844	0.023894	0.0206216	0.0173734	0.0134254	0.0271353	0.000412633	0.0246546	0.0231074	0.012122	0.00207569	6.86119e-05	0.00749928	0.0113778	0.0071069	0.00413978	0.00746383	0.0116516	0.00632777	0.0110756	0.00549679	0.00670172	0.00751353	0.00785404	0.0296859	0.00709118	0.00321198	0.00328232	0.00418929	0.00424431	0.0027529	0.000734287	0.00261596	0.007439	0.013402	0.00535845	0.00159668	0.00504057	0.00651091	0.00611476	0.0557229	0.00565335	0.00181267	0.0589089	0.0186117	2.26383e-05	0.0202815	0.00147431	0.00816112	0.023034	0.0125551	0.0105779	0.00414564	0.0155125	0.000982047	0.0260567	0.00665447	0.00234431	0.00822369	0.00176259	0.0328677	0.0161322	0.000268091	0.00593142	0.00646488	0.00126529	0.00401776	0.00901607	0.00948197	0.000723945	0.00579597	0.0198414	0.00715366	0.0273441	0.00906226	2.0472e-05	0.254507	0.745493	0.2545071	5.504906
36	-3808.021	-3954.045	146.0241	0.244818	0.0283037	0.0957506	0.0595901	0.0820028	0.015849	0.0619042	0.0101375	0.0584039	0.0291145	0.0524571	0.131697	0.0324482	0.0268091	0.139577	0.101847	0.103439	0.0786431	0.205344	0.00882345	0.102085	0.0613755	0.0492027	0.000973817	0.000284602	0.0912259	0.057987	0.0402064	0.061602	0.025577	0.0562909	0.0543119	0.0736123	0.0463448	0.0515093	0.0389164	0.0552821	0.126521	0.0335172	0.0180959	0.00500112	0.0209709	0.0244278	0.02176	0.0239863	0.0309496	0.0670402	0.034289	0.0542589	0.00229698	0.0051124	0.0564594	0.0551416	0.279265	0.0399507	0.0233789	0.140596	0.0549438	0.000560677	0.0922785	0.0144068	0.0541598	0.0825054	0.0290443	0.0777472	0.0180999	0.1798	0.0597442	0.11552	0.0270767	0.0325154	0.015834	0.00548748	0.192579	0.0614434	0.0129694	0.0325389	0.0390258	0.0439588	0.0497689	0.0474952	0.0432317	0.00449676	0.0416584	0.108694	0.0328752	0.139361	0.136998	2.83212e-05	1.214446	0.7855543	0.262729	0.521066	0.815973	1.22553	1.91914	3.8062	0.9664767	0.6468418	0.0458151	0.00529673	0.0179187	0.0111516	0.0153459	0.00296596	0.0115847	0.00189712	0.0109297	0.00544847	0.00981678	0.0246456	0.00607234	0.00501705	0.0261204	0.0190595	0.0193575	0.0147172	0.0384279	0.00165121	0.0191042	0.0114858	0.00920777	0.000182239	5.32602e-05	0.0170719	0.0108516	0.0075242	0.0115282	0.00478646	0.0105342	0.0101639	0.0137757	0.00867292	0.00963941	0.00728278	0.0103455	0.0236771	0.00627238	0.00338645	0.000935906	0.00392447	0.00457141	0.00407215	0.00448877	0.00579189	0.0125459	0.00641682	0.010154	0.000429856	0.000956731	0.0105658	0.0103192	0.0522615	0.00747634	0.00437512	0.026311	0.0102821	0.000104925	0.0172689	0.00269609	0.0101354	0.01544	0.00543533	0.0145495	0.00338721	0.0336477	0.0111805	0.0216183	0.00506712	0.0060849	0.00296316	0.00102692	0.0360392	0.0114985	0.00242709	0.00608931	0.00730327	0.00822642	0.00931371	0.00888823	0.00809036	0.000841521	0.00779593	0.0203408	0.00615225	0.02608	0.0256377	5.3e-06	0.280654	0.719346	0.2806536	5.343613
72	-3803.918	-3949.171	145.2524	0.194211	0.105123	0.0430887	0.0624827	0.0532264	0.0417502	0.0677765	0.0127916	0.103459	0.0469364	0.0261089	0.112187	0.0499988	0.0579211	0.117102	0.0647238	0.0890072	0.105903	0.183156	0.0152761	0.0731365	0.151146	0.0475062	0.00858819	0.00042306	0.049607	0.103194	0.0876799	0.0642773	0.0288001	0.0461388	0.055469	0.0677255	0.0631183	0.0487135	0.0376375	0.0825357	0.139254	0.0401511	0.00582626	0.00784734	0.00858832	0.0445647	0.0122702	0.00897537	0.0260919	0.0563484	0.077068	0.0257895	0.00717025	0.0160351	0.131841	0.0590095	0.312288	0.0305428	0.00340773	0.101286	0.0707031	0.00178605	0.0763992	0.0551934	0.0679501	0.0578147	0.0295042	0.0813061	0.0455682	0.201062	0.0394244	0.228919	0.0429147	0.0197443	0.0281893	0.00890687	0.348389	0.0267147	0.0177146	0.034722	0.0566585	0.0266726	0.0626146	0.0786481	0.0753761	0.053132	0.0341797	0.0687541	0.0213053	0.0725257	0.0593301	0.00205167	1.122523	0.8774765	0.341352	0.592027	0.849131	1.17767	1.68911	2.92953	0.7771846	0.7816999	0.0336211	0.0181985	0.00745937	0.0108168	0.00921437	0.00722766	0.0117332	0.00221444	0.0179104	0.00812548	0.00451989	0.0194214	0.00865563	0.0100271	0.0202723	0.0112048	0.0154086	0.0183336	0.0317073	0.00264455	0.0126611	0.0261658	0.00822411	0.00148676	7.32387e-05	0.0085878	0.0178646	0.0151788	0.0111275	0.00498578	0.00798739	0.00960261	0.0117244	0.0109268	0.00843311	0.00651568	0.0142883	0.0241071	0.00695082	0.00100862	0.00135851	0.00148678	0.0077149	0.00212418	0.00155379	0.00451694	0.00975484	0.0133418	0.00446459	0.00124129	0.00277594	0.0228239	0.0102155	0.0540623	0.00528747	0.000589935	0.0175342	0.0122399	0.000309195	0.013226	0.00955489	0.0117633	0.0100087	0.00510766	0.0140754	0.00788861	0.0348071	0.00682501	0.0396297	0.00742925	0.00341806	0.00488003	0.00154193	0.060312	0.00462475	0.00306669	0.00601095	0.00980852	0.00461746	0.0108396	0.0136153	0.0130488	0.00919803	0.00591707	0.0119025	0.00368831	0.0125554	0.010271	0.000355179	0.34104	0.65896	0.3410404	5.776454
108	-3812.505	-3958.578	146.0729	0.272891	0.15061	0.0323605	0.0527334	0.0219146	0.0584639	0.0463059	0.020394	0.10776	0.0552807	0.00822324	0.0791786	0.0429272	0.0134769	0.133496	0.0849332	0.171695	0.0440375	0.153594	0.0355433	0.0593965	0.128703	0.0568983	0.00878803	0.0156049	0.0643106	0.0943457	0.0265535	0.0903463	0.0330037	0.0675431	0.0362133	0.0448932	0.047982	0.050485	0.062383	0.13593	0.132769	0.0356188	0.00371072	0.00394757	0.00498725	0.0338908	0.00681893	0.0155772	0.0290653	0.0274503	0.0288521	0.0406202	0.00563785	0.00906173	0.110606	0.0294493	0.286748	0.0271485	0.00464234	0.174505	0.0743491	0.00697925	0.0669822	0.0276865	0.0621222	0.0917379	0.00312532	0.0976282	0.0413805	0.0296644	0.066126	0.0905763	0.0181195	0.0469891	0.00888107	0.0710409	0.250806	0.0346184	0.00720661	0.0236807	0.0511317	0.0129698	0.0490401	0.0185969	0.0429605	0.0489001	0.0501144	0.082854	0.0656702	0.0534594	0.0861493	0.0352205	1.179177	0.8208235	0.302975	0.558574	0.833862	1.19924	1.79027	3.3006	0.8634191	0.6960989	0.0511313	0.0282196	0.00606334	0.00988058	0.00410611	0.0109543	0.00867627	0.00382119	0.0201908	0.0103579	0.00154078	0.0148356	0.00804322	0.00252515	0.0250129	0.0159138	0.0321702	0.00825124	0.0287786	0.00665971	0.011129	0.0241149	0.0106609	0.0016466	0.00292387	0.0120498	0.0176774	0.00497528	0.0169281	0.00618386	0.0126555	0.00678524	0.00841158	0.00899031	0.0094593	0.0116886	0.0254689	0.0248768	0.00667385	0.000695272	0.000739652	0.000934454	0.00635007	0.00127765	0.00291868	0.00544593	0.00514333	0.00540598	0.00761095	0.00105636	0.00169788	0.0207241	0.00551788	0.0537276	0.00508677	0.000869829	0.0326968	0.0139307	0.00130769	0.0125504	0.00518758	0.0116397	0.0171888	0.000585588	0.0182925	0.00775341	0.00555818	0.0123899	0.0169712	0.00339502	0.00880427	0.00166403	0.0133108	0.0469932	0.00648641	0.00135029	0.00443702	0.00958048	0.00243014	0.00918858	0.00348448	0.00804945	0.00916234	0.00938987	0.0155242	0.0123045	0.0100166	0.0161417	0.00659922	0.415192	0.584808	0.4151919	5.337073
144	-3827.56	-3972.385	144.8256	0.275377	0.047634	0.0802141	0.0529752	0.0475064	0.0412377	0.0192119	0.0247579	0.0270249	0.0174362	0.0553171	0.150011	0.049082	0.0318976	0.19038	0.059802	0.193385	0.0806782	0.200303	0.0173827	0.0781838	0.15392	0.0888172	0.00274222	0.0229532	0.130253	0.0513036	0.0609328	0.0386395	0.0422317	0.0742133	0.0419846	0.0378506	0.0614734	0.0389018	0.0236721	0.0579864	0.204699	0.0546475	0.0454869	0.0249898	0.0212172	0.0120462	0.0028422	0.013372	0.023368	0.00935923	0.0394452	0.0238274	0.0118377	0.00948348	0.108556	0.0433737	0.296794	0.0368758	0.0101875	0.184383	0.180625	0.0184025	0.0587106	0.0787464	0.0557049	0.11463	0.0528902	0.113187	0.0206039	0.0981627	0.0171822	0.200365	0.0464138	0.00620997	0.0172803	0.127374	0.278527	0.0712573	0.0123302	0.000664318	0.0305146	0.00193083	0.0284189	0.0113398	0.0229713	0.106292	0.0505009	0.0888668	0.0325065	0.115279	0.0647989	0.0216551	1.155728	0.844272	0.296786	0.55298	0.831247	1.20301	1.80838	3.36943	0.8783441	0.7305109	0.0459819	0.00795384	0.013394	0.00884571	0.00793252	0.00688579	0.00320798	0.00413402	0.00451257	0.00291147	0.00923676	0.0250485	0.00819562	0.00532621	0.0317893	0.00998564	0.0322911	0.0134715	0.0334462	0.00290253	0.013055	0.0257013	0.0148305	0.000457891	0.00383268	0.0217494	0.00856658	0.0101745	0.00645195	0.00705177	0.012392	0.00701051	0.00632023	0.0102647	0.00649575	0.00395272	0.00968246	0.0341802	0.00912494	0.00759531	0.00417276	0.00354282	0.00201146	0.000474586	0.00223283	0.00390195	0.00156279	0.0065865	0.00397866	0.00197664	0.00158353	0.0181266	0.00724246	0.0495581	0.00615745	0.0017011	0.0307879	0.0301604	0.00307282	0.00980339	0.0131489	0.00930151	0.0191407	0.00883151	0.0188998	0.0034404	0.016391	0.00286905	0.0334566	0.00775009	0.00103693	0.00288543	0.0212686	0.046508	0.0118984	0.00205887	0.000110927	0.00509527	0.000322407	0.00474533	0.0018935	0.0038357	0.0177485	0.00843255	0.0148388	0.00542787	0.0192491	0.01082	0.00361592	0.254214	0.745786	0.2542144	5.988806
180	-3805.812	-3951.931	146.1186	0.271602	0.0581327	0.0705727	0.0647872	0.0660705	0.0333492	0.0145816	0.0386022	0.0572061	0.109766	0.0650499	0.115709	0.0195349	0.051834	0.0804507	0.0439673	0.102545	0.0746513	0.169696	0.0196023	0.113045	0.173481	0.0640749	0.00556828	0.0066873	0.0875757	0.111731	0.0394469	0.0486428	0.0412495	0.0808372	0.0555301	0.0471732	0.0685109	0.054896	0.0162296	0.0668883	0.183014	0.0297834	0.0107424	0.018216	0.0215802	0.0119275	0.00218472	0.00515916	0.0164235	0.0155387	0.0537631	0.0199188	0.00452869	0.0385823	0.0281136	0.0917362	0.0359022	0.0395417	0.172255	0.0609018	0.00793898	0.0269725	0.0290345	0.174252	0.02995	0.0333831	0.00897894	0.05589	0.0231822	0.059545	0.103766	0.0753037	0.019555	0.0435931	0.0232015	0.0304941	0.0296734	0.0198134	0.0046541	0.00494929	0.255152	0.0893226	0.11907	0.0687126	0.00512047	0.168995	0.0950937	0.044861	0.0234794	0.000346854	0.116751	0.00788632	1.089236	0.9107644	0.343853	0.594138	0.850075	1.17637	1.68311	2.90822	0.7719064	0.8361501	0.0515568	0.011035	0.0133965	0.0122982	0.0125418	0.00633051	0.00276796	0.00732766	0.0108591	0.0208364	0.0123481	0.0219644	0.0037082	0.00983939	0.0152715	0.0083461	0.0194655	0.0141707	0.0322126	0.00372101	0.0214588	0.032931	0.012163	0.001057	0.00126942	0.016624	0.0212093	0.007488	0.00923361	0.00783018	0.0153449	0.010541	0.00895465	0.0130051	0.0104206	0.00308077	0.0126971	0.0347406	0.00565363	0.00203918	0.00345784	0.00409646	0.00226413	0.000414715	0.000979337	0.00311759	0.00294963	0.0102056	0.00378109	0.000859658	0.00732388	0.00533666	0.0174138	0.00681513	0.007506	0.0326982	0.0115607	0.00150702	0.00512006	0.00551147	0.0330773	0.00568526	0.00633695	0.00170443	0.0106093	0.00440056	0.0113031	0.0196974	0.0142945	0.00371203	0.00827506	0.00440423	0.00578854	0.00563274	0.00376107	0.000883464	0.000939499	0.0484342	0.0169557	0.0226025	0.0130434	0.000971993	0.0320795	0.0180512	0.00851574	0.00445697	6.58415e-05	0.0221622	0.00149702	0.313732	0.686268	0.3137316	5.268012
216	-3809.322	-3954.361	145.0395	0.293831	0.0535128	0.0597533	0.0769884	0.0844329	0.0510532	0.000412384	0.0835533	0.0463124	0.0330875	0.0355451	0.16341	0.0422012	0.0242833	0.102879	0.0922532	0.209056	0.0759355	0.112486	0.049699	0.0640575	0.121938	0.0562353	0.00221993	0.0107435	0.100528	0.0888153	0.0528981	0.0396669	0.0576848	0.0726371	0.0227234	0.106735	0.0517214	0.0552297	0.0318387	0.0356397	0.228243	0.0408415	0.0118199	0.0092739	0.0110989	0.0229903	0.0269675	0.0107005	0.0341143	0.0236106	0.107058	0.0342359	0.0550558	0.00841772	0.0247299	0.0802526	0.0307264	0.120662	0.026528	0.110041	0.00635139	0.0607945	0.0293535	0.273485	0.0122582	0.0862792	0.0101487	0.0562532	0.126607	0.0923711	0.131993	0.0491658	0.0512247	0.0342398	0.0337595	0.0596895	0.0250632	0.00470568	0.0546348	0.0011378	0.188136	0.0956009	0.092015	0.00773025	0.00585936	0.25231	0.0503368	0.116364	0.0423723	0.000511942	0.0205829	0.0384275	1.044105	0.955895	0.323732	0.576921	0.842311	1.18721	1.73334	3.08897	0.8155054	0.9155162	0.0507557	0.00924367	0.0103216	0.0132988	0.0145847	0.00881881	7.12341e-05	0.0144328	0.0079999	0.00571545	0.00613997	0.028227	0.00728973	0.00419465	0.0177711	0.0159356	0.0361118	0.0131169	0.0194306	0.00858488	0.0110651	0.0210633	0.00971396	0.000383466	0.00185581	0.017365	0.0153417	0.00913749	0.00685196	0.00996434	0.0125471	0.00392519	0.0184372	0.00893423	0.00954024	0.00549974	0.00615631	0.0394262	0.00705487	0.00204174	0.00160195	0.0019172	0.00397129	0.00465829	0.00184838	0.00589282	0.00407843	0.0184929	0.00591382	0.0095102	0.00145406	0.00427178	0.0138626	0.00530761	0.0208428	0.00458238	0.0190082	0.00109712	0.0105015	0.00507046	0.0472412	0.00211745	0.0149037	0.00175306	0.00971703	0.0218699	0.015956	0.0228002	0.00849278	0.00884843	0.0059145	0.00583154	0.0103106	0.00432935	0.000812848	0.00943748	0.00019654	0.0324982	0.0165139	0.0158945	0.0013353	0.00101213	0.0435835	0.00869506	0.0201004	0.0073193	8.84317e-05	0.00355544	0.00663787	0.391066	0.608934	0.3910662	5.789128
252	-3804.917	-3950.583	145.6657	0.1405	0.0820272	0.0602129	0.00568855	0.0343303	0.0263134	0.0289462	0.042937	0.0462297	0.140065	0.0365266	0.0935628	0.0545093	0.0529754	0.152935	0.161358	0.078366	0.0467953	0.167389	0.0887933	0.0632617	0.0854365	0.0688762	0.00806333	0.000757708	0.0773993	0.10616	0.0408849	0.0453683	0.0533005	0.0660202	0.024754	0.125524	0.108071	0.0837727	0.00857091	0.102171	0.234963	0.0375304	0.0138647	0.00638951	0.024112	0.0397727	0.00661147	0.00929526	0.0383783	0.056956	0.0405796	0.0361579	0.0369028	0.0437539	0.270645	0.00839877	0.139867	0.0291153	0.0943028	0.0526641	0.0295573	0.0281758	0.0629704	0.0673249	0.0333517	0.262252	0.0883535	0.0551988	0.0279694	0.0474656	0.016681	0.0529579	0.115369	0.119822	0.0209661	0.0364633	0.0259475	0.129833	0.000853622	0.0546057	0.00811361	0.00462883	0.0960299	0.0112916	0.0675456	0.0528143	0.0297016	0.00581854	0.00775145	0.0191265	0.0531229	0.0783454	1.15099	0.84901	0.308699	0.563696	0.83624	1.19583	1.774	3.2394	0.8498862	0.7376346	0.0253633	0.0148076	0.0108697	0.0010269	0.00619734	0.00475011	0.00522539	0.00775102	0.00834543	0.0252847	0.00659382	0.01689	0.00984006	0.00956317	0.0276081	0.0291284	0.0141467	0.00844754	0.0302172	0.0160291	0.0114201	0.0154231	0.0124336	0.0014556	0.000136782	0.0139722	0.0191642	0.00738057	0.00818992	0.00962185	0.011918	0.00446862	0.0226596	0.0195092	0.0151227	0.00154723	0.018444	0.0424157	0.00677503	0.00250287	0.00115344	0.00435272	0.00717981	0.00119351	0.00167799	0.0069281	0.0102817	0.00732547	0.00652726	0.00666173	0.00789849	0.048857	0.00151615	0.0252489	0.00525592	0.0170236	0.00950697	0.00533572	0.00508633	0.0113675	0.0121536	0.00602068	0.047342	0.0159497	0.00996453	0.00504907	0.00856853	0.00301127	0.00956002	0.0208265	0.0216303	0.00378483	0.0065824	0.00468406	0.0234377	0.000154097	0.00985747	0.00146468	0.000835601	0.0173354	0.00203837	0.0121934	0.00953409	0.00536176	0.00105037	0.0013993	0.00345274	0.0095898	0.014143	0.46863	0.53137	0.4686296	5.539523
288	-3803.235	-3948.864	145.6282	0.285051	0.0282544	0.116751	0.0377709	0.0481144	0.0338524	0.0379412	0.0139399	0.0627651	0.0524431	0.0290793	0.154318	0.0822989	0.00614441	0.0952205	0.0972347	0.104605	0.0321437	0.143203	0.0384584	0.139926	0.169648	0.0514003	0.00691101	0.00186454	0.035756	0.0921458	0.0526728	0.0387209	0.0562373	0.0837884	0.0190519	0.0764272	0.0608021	0.0408218	0.0527098	0.0617841	0.220658	0.0536034	0.061287	0.00469962	0.0161316	0.019839	0.00890936	0.00727286	0.0191098	0.0685344	0.0128768	0.0165959	0.0430965	0.00207011	0.049459	0.0874307	0.0556334	0.016258	0.0465444	0.18082	0.00459228	0.0536761	0.00534677	0.210662	0.0303872	0.0214454	0.00623121	0.0546221	0.0359007	0.0321698	0.0921691	0.0294485	0.0148856	0.0117638	0.0599554	0.0111244	0.0168113	0.055418	0.00758741	0.0879417	0.261437	0.0457875	0.115483	0.000218517	0.0188034	0.154493	0.0393289	0.0900481	0.0204289	0.149906	0.0633019	0.0227683	1.006583	0.9934167	0.2716	0.529573	0.820106	1.21935	1.88831	3.68189	0.9424666	0.9869195	0.0532285	0.00527603	0.0218013	0.00705309	0.00898456	0.00632138	0.0070849	0.00260304	0.0117203	0.00979289	0.00543007	0.0288163	0.015368	0.00114737	0.0177808	0.018157	0.0195333	0.0060023	0.0267408	0.00718147	0.0261288	0.031679	0.00959815	0.00129052	0.000348172	0.00667684	0.0172067	0.00983576	0.00723048	0.0105014	0.0156461	0.00355763	0.0142715	0.0113538	0.0076228	0.00984267	0.0115371	0.0412042	0.0100095	0.0114443	0.000877575	0.0030123	0.0037046	0.00166367	0.00135809	0.00356843	0.0127977	0.00240453	0.00309902	0.00804756	0.000386558	0.00923565	0.0163262	0.0103886	0.00303591	0.0086914	0.0337651	0.000857531	0.0100231	0.000998421	0.0393376	0.0056743	0.00400458	0.00116357	0.0101998	0.00670386	0.00600717	0.017211	0.00549901	0.00277964	0.00219669	0.0111957	0.00207729	0.00313924	0.0103484	0.00141682	0.0164216	0.048819	0.00855005	0.0215644	4.08045e-05	0.00351123	0.0288489	0.00734402	0.016815	0.00381476	0.0279925	0.0118206	0.00425161	0.388191	0.611809	0.388191	5.355229
324	-3806.541	-3951.963	145.4222	0.271599	0.0988444	0.0602943	0.0355297	0.0499544	0.0471873	0.0172951	0.0388243	0.0429621	0.058859	0.0639025	0.242098	0.0403159	0.0682994	0.117069	0.0691423	0.108564	0.0976165	0.225686	0.0400694	0.076173	0.114861	0.0210012	0.000114871	0.00419748	0.058445	0.0868479	0.0578807	0.0499057	0.02418	0.0336876	0.0343859	0.0634327	0.0535989	0.0677643	0.0203232	0.0647249	0.324961	0.0294855	0.0282376	0.00658365	0.0227732	0.0220295	0.0158498	0.0118057	0.0124401	0.197538	0.0232362	0.0471621	0.0357692	0.0444756	0.137547	0.0401712	0.078353	0.0253193	0.0434852	0.060918	0.0575102	0.0261077	0.0146579	0.0774496	0.0258048	0.189578	0.0602808	0.0254317	0.0286407	0.0859918	0.00312102	0.0363142	0.133579	0.222231	0.00106903	0.0354475	0.0700716	0.198152	0.0393084	0.0626187	0.00327903	0.00196652	0.0599581	0.0360207	0.00391529	0.00139775	0.0382592	0.04655	0.0122908	0.0311565	0.0887601	0.0352047	1.131238	0.8687621	0.260919	0.519312	0.815115	1.22682	1.92563	3.83261	0.9714765	0.7679747	0.0486222	0.0176953	0.010794	0.00636061	0.00894294	0.00844757	0.0030962	0.00695041	0.00769117	0.0105371	0.01144	0.0433408	0.00721745	0.0122271	0.0209579	0.012378	0.0194353	0.0174755	0.0404027	0.00717331	0.0136366	0.0205626	0.00375969	2.05645e-05	0.000751443	0.010463	0.0155477	0.0103619	0.00893423	0.00432875	0.00603083	0.00615585	0.0113559	0.0095954	0.0121313	0.0036383	0.0115872	0.0581753	0.00527856	0.00505516	0.00117862	0.00407691	0.00394377	0.00283747	0.00211349	0.00222706	0.0353636	0.00415979	0.00844306	0.00640349	0.00796213	0.0246239	0.00719154	0.0140269	0.00453272	0.00778482	0.0109057	0.0102956	0.00467387	0.00262409	0.0138652	0.00461963	0.0339387	0.0107916	0.00455284	0.00512732	0.0153944	0.000558732	0.00650104	0.0239135	0.0397842	0.000191381	0.00634589	0.0125444	0.0354735	0.00703708	0.0112101	0.00058702	0.000352051	0.0107338	0.00644851	0.000700923	0.000250229	0.00684925	0.00833348	0.00220033	0.00557771	0.01589	0.00630242	0.293679	0.706321	0.2936794	5.585899
